State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Polling Percentage,NA,NA,NA,82.19
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Votes Polled On Evm,NA,NA,NA,1285322
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Deducted Votes From Evm,NA,NA,NA,29709
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1255613
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Counted,NA,NA,NA,22310
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Deducted,NA,NA,NA,1931
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Valid Postal Votes,NA,NA,NA,20379
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled,NA,NA,NA,1275992
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Test Votes Polled On Evm,NA,NA,NA,0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Votes Polled For 'Nota'(Including Postal),NA,NA,NA,23250
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Tendered Votes,NA,NA,NA,37
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Number,NA,NA,NA,1886
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Average Electors Per Polling,NA,NA,NA,844
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Dates(S) Of Re-Poll If Any,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Polling Date - 13/05/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Counting Date - 04/06/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,"Dates - Declaration Of
Result Date - 04/06/2024",NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate -Winner: - Gumma Thanuja Rani,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Winner - Votes ,NA,NA,NA,477005
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Party Runner-Up: - Bharatiya Janata Party,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate Runner-Up: - Kothapalli Geetha,NA,NA,NA,493762
